created_at,id,url,reblog,text
2026-05-26T09:53:29.015Z,116640265599728280,https://truthsocial.com/@realDonaldTrump/116640265599728280,no,https://truthsocial.com/users/lauramarks/statuses/116634724803550055
2026-05-26T09:52:48.227Z,116640262926602501,https://truthsocial.com/@realDonaldTrump/116640262926602501,no,https://truthsocial.com/users/IStandWithTrump47/statuses/116634832160073750
2026-05-26T02:14:24.484Z,116638460441254303,https://truthsocial.com/@realDonaldTrump/116638460441254303,no,U.S. attorney in Miami sends ‘message’ to deep state with indictment against ex-prosecutor https://justthenews.com/accountability/political-ethics/us-attorney-miami-sends-message-deep-state-indictment-against-ex
2026-05-26T02:13:02.641Z,116638455077643701,https://truthsocial.com/@realDonaldTrump/116638455077643701,no,"Exclusive: Key Biden DOJ official raised red flags about FBI’s Mar-a-Lago raid, memo shows: https://justthenews.com/government/courts-law/biden-doj-official-had-concerns-trump-declassified-documents-seized-fbis-mar"
2026-05-26T00:47:25.434Z,116638118403619197,https://truthsocial.com/@realDonaldTrump/116638118403619197,no,
2026-05-26T00:10:27.952Z,116637973078764700,https://truthsocial.com/@realDonaldTrump/116637973078764700,no,
2026-05-26T00:10:21.549Z,116637972659155015,https://truthsocial.com/@realDonaldTrump/116637972659155015,no,
2026-05-26T00:10:12.249Z,116637972049713823,https://truthsocial.com/@realDonaldTrump/116637972049713823,no,
2026-05-26T00:10:02.684Z,116637971422874569,https://truthsocial.com/@realDonaldTrump/116637971422874569,no,
2026-05-26T00:09:54.673Z,116637970897874082,https://truthsocial.com/@realDonaldTrump/116637970897874082,no,
2026-05-25T23:57:57.941Z,116637923930386496,https://truthsocial.com/@realDonaldTrump/116637923930386496,no,RT: https://truthsocial.com/users/realDonaldTrump/statuses/116637923075105654
2026-05-25T23:57:44.957Z,116637923075105654,https://truthsocial.com/@realDonaldTrump/116637923075105654,no,
2026-05-25T21:45:59.630Z,116637404995923093,https://truthsocial.com/@realDonaldTrump/116637404995923093,no,"The Enriched Uranium (Nuclear Dust!) will either be immediately turned over to the United States to be brought home and destroyed or, preferably, in conjunction and coordination with the Islamic Republic of Iran, destroyed in place or, at another acceptable location, with the Atomic Energy Commission, or its equivalent, being witness to this process and event. Thank you for your attention to this matter! President DJT"
2026-05-25T17:35:13.050Z,116636418903333996,https://truthsocial.com/@realDonaldTrump/116636418903333996,no,
2026-05-25T15:27:18.945Z,116635915970716365,https://truthsocial.com/@realDonaldTrump/116635915970716365,no,https://truthsocial.com/users/dpritsky/statuses/116634745889324010
2026-05-25T15:26:50.281Z,116635914092231106,https://truthsocial.com/@realDonaldTrump/116635914092231106,no,https://truthsocial.com/users/IStandWithTrump47/statuses/116634879222745492
2026-05-25T15:26:36.813Z,116635913209650795,https://truthsocial.com/@realDonaldTrump/116635913209650795,no,https://truthsocial.com/users/IStandWithTrump47/statuses/116634820235173843
2026-05-25T15:25:47.929Z,116635910005926618,https://truthsocial.com/@realDonaldTrump/116635910005926618,no,https://truthsocial.com/users/IStandWithTrump47/statuses/116634822157963892
